protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0011      	 5.06480355E-01
PROSYN-Clo1313_0020      	 0.00000000E+00
PROSYN-Clo1313_0021      	 0.00000000E+00
PROSYN-Clo1313_0022      	 0.00000000E+00
PROSYN-Clo1313_0023      	 0.00000000E+00
PROSYN-Clo1313_0030      	 4.31865935E-01
PROSYN-Clo1313_0034      	 0.00000000E+00
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 0.00000000E+00
PROSYN-Clo1313_0062      	 0.00000000E+00
PROSYN-Clo1313_0063      	 0.00000000E+00
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 0.00000000E+00
PROSYN-Clo1313_0066      	 0.00000000E+00
PROSYN-Clo1313_0068      	 0.00000000E+00
PROSYN-Clo1313_0073      	 0.00000000E+00
PROSYN-Clo1313_0074      	 0.00000000E+00
PROSYN-Clo1313_0075      	 0.00000000E+00
PROSYN-Clo1313_0076      	 0.00000000E+00
PROSYN-Clo1313_0077      	 0.00000000E+00
PROSYN-Clo1313_0078      	 0.00000000E+00
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 2.04722831E-02
PROSYN-Clo1313_0098      	 0.00000000E+00
PROSYN-Clo1313_0099      	 0.00000000E+00
PROSYN-Clo1313_0100      	 4.64347938E-01
PROSYN-Clo1313_0101      	 3.03065540E+00
PROSYN-Clo1313_0102      	 0.00000000E+00
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 0.00000000E+00
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 5.64243904E-01
PROSYN-Clo1313_0120      	 5.64243904E-01
PROSYN-Clo1313_0122      	 0.00000000E+00
PROSYN-Clo1313_0124      	 8.99345047E-03
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 0.00000000E+00
PROSYN-Clo1313_0139      	 0.00000000E+00
PROSYN-Clo1313_0142      	 0.00000000E+00
PROSYN-Clo1313_0144      	 6.86377957E-01
PROSYN-Clo1313_0145      	 0.00000000E+00
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 0.00000000E+00
PROSYN-Clo1313_0148      	 0.00000000E+00
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 0.00000000E+00
PROSYN-Clo1313_0168      	 0.00000000E+00
PROSYN-Clo1313_0169      	 6.55305225E+02
PROSYN-Clo1313_0172      	 0.00000000E+00
PROSYN-Clo1313_0175      	 0.00000000E+00
PROSYN-Clo1313_0177      	 1.63631612E-03
PROSYN-Clo1313_0184      	 5.79531762E-02
PROSYN-Clo1313_0185      	 0.00000000E+00
PROSYN-Clo1313_0186      	 1.02361416E-02
PROSYN-Clo1313_0188      	 2.10841052E-02
PROSYN-Clo1313_0189      	 2.22363899E-03
PROSYN-Clo1313_0190      	 2.22363899E-02
PROSYN-Clo1313_0191      	 4.44727797E-03
PROSYN-Clo1313_0192      	 2.22363899E-03
PROSYN-Clo1313_0193      	 6.67091696E-03
PROSYN-Clo1313_0194      	 2.22363899E-03
PROSYN-Clo1313_0195      	 6.67091696E-03
PROSYN-Clo1313_0196      	 2.22363899E-03
PROSYN-Clo1313_0202      	 0.00000000E+00
PROSYN-Clo1313_0213      	 5.89660725E-02
PROSYN-Clo1313_0214      	 2.17486118E-02
PROSYN-Clo1313_0217      	 1.76063023E-01
PROSYN-Clo1313_0218      	 6.84629669E-01
PROSYN-Clo1313_0224      	 6.35059576E-05
PROSYN-Clo1313_0228      	 0.00000000E+00
PROSYN-Clo1313_0229      	 0.00000000E+00
PROSYN-Clo1313_0230      	 0.00000000E+00
PROSYN-Clo1313_0234      	 0.00000000E+00
PROSYN-Clo1313_0236      	 3.75855147E-02
PROSYN-Clo1313_0238      	 3.77148955E+00
PROSYN-Clo1313_0239      	 0.00000000E+00
PROSYN-Clo1313_0245      	 0.00000000E+00
PROSYN-Clo1313_0262      	 1.98696556E+00
PROSYN-Clo1313_0275      	 7.52819967E-03
PROSYN-Clo1313_0288      	 0.00000000E+00
PROSYN-Clo1313_0295      	 3.47917800E-01
PROSYN-Clo1313_0296      	 3.47917800E-01
PROSYN-Clo1313_0304      	 8.90306759E-01
PROSYN-Clo1313_0305      	 4.64347938E-01
PROSYN-Clo1313_0306      	 1.98696556E+00
PROSYN-Clo1313_0309      	 1.98696556E+00
PROSYN-Clo1313_0310      	 1.98696556E+00
PROSYN-Clo1313_0311      	 1.98696556E+00
PROSYN-Clo1313_0313      	 0.00000000E+00
PROSYN-Clo1313_0314      	 0.00000000E+00
PROSYN-Clo1313_0315      	 1.98696556E+00
PROSYN-Clo1313_0316      	 1.98696556E+00
PROSYN-Clo1313_0317      	 1.98696556E+00
PROSYN-Clo1313_0346      	 3.02816250E-03
PROSYN-Clo1313_0349      	 3.78446455E-03
PROSYN-Clo1313_0350      	 1.88400006E-03
PROSYN-Clo1313_0365      	 9.05552218E-03
PROSYN-Clo1313_0370      	 0.00000000E+00
PROSYN-Clo1313_0372      	 0.00000000E+00
PROSYN-Clo1313_0373      	 0.00000000E+00
PROSYN-Clo1313_0374      	 0.00000000E+00
PROSYN-Clo1313_0378      	 0.00000000E+00
PROSYN-Clo1313_0380      	 0.00000000E+00
PROSYN-Clo1313_0382      	 0.00000000E+00
PROSYN-Clo1313_0383      	 0.00000000E+00
PROSYN-Clo1313_0384      	 0.00000000E+00
PROSYN-Clo1313_0385      	 0.00000000E+00
PROSYN-Clo1313_0387      	 0.00000000E+00
PROSYN-Clo1313_0388      	 9.52417866E-02
PROSYN-Clo1313_0391      	 0.00000000E+00
PROSYN-Clo1313_0397      	 0.00000000E+00
PROSYN-Clo1313_0398      	 0.00000000E+00
PROSYN-Clo1313_0399      	 6.38835168E-04
PROSYN-Clo1313_0400      	 3.71121052E-02
PROSYN-Clo1313_0403      	 5.69222260E-01
PROSYN-Clo1313_0413      	 2.11227485E-01
PROSYN-Clo1313_0415      	 1.49428504E+00
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 7.23675873E-03
PROSYN-Clo1313_0422      	 7.23675873E-03
PROSYN-Clo1313_0423      	 5.76860682E-02
PROSYN-Clo1313_0424      	 0.00000000E+00
PROSYN-Clo1313_0425      	 4.56283425E-02
PROSYN-Clo1313_0426      	 7.48266461E-02
PROSYN-Clo1313_0427      	 8.55233627E-04
PROSYN-Clo1313_0428      	 6.76699886E-02
PROSYN-Clo1313_0429      	 8.55233627E-04
PROSYN-Clo1313_0430      	 1.56958334E-01
PROSYN-Clo1313_0436      	 0.00000000E+00
PROSYN-Clo1313_0444      	 1.98696556E+00
PROSYN-Clo1313_0445      	 1.98696556E+00
PROSYN-Clo1313_0446      	 1.98696556E+00
PROSYN-Clo1313_0447      	 1.98696556E+00
PROSYN-Clo1313_0448      	 1.98696556E+00
PROSYN-Clo1313_0449      	 1.98696556E+00
PROSYN-Clo1313_0450      	 1.98696556E+00
PROSYN-Clo1313_0451      	 1.98696556E+00
PROSYN-Clo1313_0452      	 1.98696556E+00
PROSYN-Clo1313_0453      	 1.98696556E+00
PROSYN-Clo1313_0454      	 1.98696556E+00
PROSYN-Clo1313_0455      	 1.98696556E+00
PROSYN-Clo1313_0456      	 1.98696556E+00
PROSYN-Clo1313_0457      	 1.98696556E+00
PROSYN-Clo1313_0458      	 1.98696556E+00
PROSYN-Clo1313_0459      	 1.98696556E+00
PROSYN-Clo1313_0460      	 1.98696556E+00
PROSYN-Clo1313_0461      	 1.98696556E+00
PROSYN-Clo1313_0462      	 1.98696556E+00
PROSYN-Clo1313_0463      	 1.98696556E+00
PROSYN-Clo1313_0464      	 1.98696556E+00
PROSYN-Clo1313_0466      	 7.87521209E-01
PROSYN-Clo1313_0470      	 1.98696556E+00
PROSYN-Clo1313_0471      	 1.98696556E+00
PROSYN-Clo1313_0472      	 1.98696556E+00
PROSYN-Clo1313_0473      	 1.98696556E+00
PROSYN-Clo1313_0474      	 0.00000000E+00
PROSYN-Clo1313_0475      	 1.98696556E+00
PROSYN-Clo1313_0476      	 0.00000000E+00
PROSYN-Clo1313_0486      	 0.00000000E+00
PROSYN-Clo1313_0487      	 0.00000000E+00
PROSYN-Clo1313_0488      	 0.00000000E+00
PROSYN-Clo1313_0489      	 2.65113084E-01
PROSYN-Clo1313_0492      	 0.00000000E+00
PROSYN-Clo1313_0497      	 0.00000000E+00
PROSYN-Clo1313_0498      	 2.84715257E-01
PROSYN-Clo1313_0501      	 3.36326417E-04
PROSYN-Clo1313_0511      	 0.00000000E+00
PROSYN-Clo1313_0512      	 0.00000000E+00
PROSYN-Clo1313_0521      	 5.17293952E-03
PROSYN-Clo1313_0530      	 0.00000000E+00
PROSYN-Clo1313_0531      	 0.00000000E+00
PROSYN-Clo1313_0542      	 0.00000000E+00
PROSYN-Clo1313_0551      	 9.06021054E-03
PROSYN-Clo1313_0554      	 2.84379242E-02
PROSYN-Clo1313_0564      	 0.00000000E+00
PROSYN-Clo1313_0565      	 0.00000000E+00
PROSYN-Clo1313_0566      	 0.00000000E+00
PROSYN-Clo1313_0567      	 0.00000000E+00
PROSYN-Clo1313_0568      	 0.00000000E+00
PROSYN-Clo1313_0569      	 0.00000000E+00
PROSYN-Clo1313_0570      	 1.35117187E-03
PROSYN-Clo1313_0571      	 1.35117187E-03
PROSYN-Clo1313_0572      	 1.35117187E-03
PROSYN-Clo1313_0573      	 1.35117187E-03
PROSYN-Clo1313_0574      	 1.35117187E-03
PROSYN-Clo1313_0575      	 1.35117187E-03
PROSYN-Clo1313_0578      	 2.21068333E+00
PROSYN-Clo1313_0579      	 0.00000000E+00
PROSYN-Clo1313_0586      	 0.00000000E+00
PROSYN-Clo1313_0592      	 0.00000000E+00
PROSYN-Clo1313_0605      	 6.85537952E-02
PROSYN-Clo1313_0613      	 0.00000000E+00
PROSYN-Clo1313_0626      	 0.00000000E+00
PROSYN-Clo1313_0627      	 1.53459591E-01
PROSYN-Clo1313_0628      	 1.44586750E-01
PROSYN-Clo1313_0629      	 1.05797863E-01
PROSYN-Clo1313_0636      	 7.68301617E-01
PROSYN-Clo1313_0640      	 8.60570576E-02
PROSYN-Clo1313_0641      	 8.60570576E-02
PROSYN-Clo1313_0645      	 0.00000000E+00
PROSYN-Clo1313_0648      	 0.00000000E+00
PROSYN-Clo1313_0650      	 0.00000000E+00
PROSYN-Clo1313_0651      	 1.44937273E-02
PROSYN-Clo1313_0652      	 2.16516561E-02
PROSYN-Clo1313_0654      	 0.00000000E+00
